cells,celltype
SM.GE67H_S167_E1.50,GABA2
SM.GE67H_S168_E1.50,MP
SM.GE67H_S178_E1.50,MP
SM.GE67H_S179_E1.50,MP
SM.GE67H_S180_E1.50,MP
SM.GE67H_S181_E1.50,MP
SM.GE67H_S182_E1.50,MP
SM.GE67H_S183_E1.50,K
SM.GE67H_S184_E1.50,MP
SM.GE67H_S185_E1.50,MP
SM.GE67H_S186_E1.50,K
SM.GE67H_S187_E1.50,K
SM.GE67H_S188_E1.50,GABA2
SM.GE67H_S189_E1.50,MP
SM.GE67H_S192_E1.50,MP
SM.GE67R.Q_S066_E1.50,MP
SM.GE67R.Q_S067_E1.50,K
SM.GE67R.Q_S068_E1.50,K
SM.GE67R.Q_S070_E1.50,MP
SM.GE67R.Q_S071_E1.50,MP
SM.GE67R.Q_S072_E1.50,MP
SM.GE67R.Q_S073_E1.50,MP
SM.GE67R.Q_S074_E1.50,MP
SM.GE67R.Q_S075_E1.50,MP
SM.GE67R.Q_S076_E1.50,GABA2
SM.GE67R.Q_S077_E1.50,MP
SM.GE67R.Q_S079_E1.50,MP
SM.GE67R.Q_S080_E1.50,K
SM.GE67R.Q_S083_E1.50,GABA2
SM.GE67R.Q_S084_E1.50,MP
SM.GE67R.Q_S085_E1.50,MP
SM.GE67R.Q_S086_E1.50,GABA1
SM.GE67R.Q_S087_E1.50,MP
SM.GE67R.Q_S088_E1.50,MP
SM.GE67R.Q_S091_E1.50,MP
SM.GE67R.Q_S092_E1.50,MP
SM.GE67R.Q_S093_E1.50,MP
SM.GE67R.Q_S094_E1.50,MP
SM.GE67R.Q_S095_E1.50,MP
SM.GE67R.Q_S096_E1.50,MP
SM.GE67U.Q_S001_E1.50,MP
SM.GE67U.Q_S002_E1.50,K
SM.GE67U.Q_S003_E1.50,MP
SM.GE67U.Q_S004_E1.50,MP
SM.GE67U.Q_S005_E1.50,GABA2
SM.GE67U.Q_S006_E1.50,MP
SM.GE67U.Q_S007_E1.50,MP
SM.GE67U.Q_S010_E1.50,MP
SM.GE67U.Q_S011_E1.50,MP
SM.GE67U.Q_S012_E1.50,MP
SM.GE67U.Q_S013_E1.50,K
SM.GE67U.Q_S014_E1.50,MP
SM.GE67U.Q_S015_E1.50,MP
SM.GE67U.Q_S016_E1.50,MP
SM.GE67U.Q_S025_E1.50,MP
SM.GE67U.Q_S026_E1.50,MP
SM.GE67U.Q_S027_E1.50,MP
SM.GE67U.Q_S029_E1.50,K
SM.GE67U.Q_S030_E1.50,MP
SM.GE67U.Q_S031_E1.50,K
SM.GE67U.Q_S032_E1.50,MP
SM.GE67U.Q_S034_E1.50,MP
SM.GE67U.Q_S035_E1.50,MP
SM.GE67U.Q_S036_E1.50,MP
SM.GE67U.Q_S037_E1.50,MP
SM.GE67U.Q_S038_E1.50,MP
SM.GE67U.Q_S039_E1.50,MP
SM.GE67U.Q_S040_E1.50,MP
SM.GE67U.Q_S041_E1.50,MP
SM.GE67U.Q_S042_E1.50,MP
SM.GE67U.Q_S043_E1.50,GABA2
SM.GE67U.Q_S044_E1.50,K
SM.GE67U.Q_S046_E1.50,MP
SM.GE67U.Q_S047_E1.50,K
SM.GE67U.Q_S049_E1.50,MP
SM.GE67U.Q_S050_E1.50,MP
SM.GE67U.Q_S051_E1.50,MP
SM.GE67U.Q_S052_E1.50,MP
SM.GE67U.Q_S053_E1.50,MP
SM.GE67U.Q_S054_E1.50,MP
SM.GE67U.Q_S055_E1.50,MP
SM.GE67U.Q_S058_E1.50,MP
SM.GE67U.Q_S059_E1.50,MP
SM.GE67U.Q_S061_E1.50,MP
SM.GE67U.Q_S062_E1.50,MP
SM.GE67U.Q_S063_E1.50,MP
SM.GE67U.Q_S064_E1.50,MP
SM.GE67U.Q_S129_E1.50,MP
SM.GE67U.Q_S131_E1.50,K
SM.GE67U.Q_S132_E1.50,MP
SM.GE67U.Q_S133_E1.50,K
SM.GE67U.Q_S134_E1.50,MP
SM.GE67U.Q_S135_E1.50,MP
SM.GE67U.Q_S136_E1.50,MP
SM.GE67U.Q_S137_E1.50,MP
SM.GE67U.Q_S138_E1.50,MP
SM.GE67U.Q_S139_E1.50,GABA2
SM.GE67U.Q_S140_E1.50,MP
SM.GE67U.Q_S141_E1.50,MP
SM.GE67U.Q_S142_E1.50,MP
SM.GE67U.Q_S143_E1.50,MP
SM.GE67U.Q_S144_E1.50,MP
SM.GE67U.Q_S145_E1.50,K
SM.GE67U.Q_S146_E1.50,K
SM.GE67U.Q_S147_E1.50,MP
SM.GE67U.Q_S148_E1.50,MP
SM.GE67U.Q_S150_E1.50,K
SM.GE67U.Q_S151_E1.50,GABA2
SM.GE67U.Q_S152_E1.50,K
SM.GE67U.Q_S153_E1.50,MP
SM.GE67U.Q_S154_E1.50,K
SM.GE67U.Q_S155_E1.50,MP
SM.GE67U.Q_S156_E1.50,K
SM.GE67U.Q_S157_E1.50,MP
SM.GE67U.Q_S158_E1.50,MP
SM.GE67U.Q_S159_E1.50,K
SM.GE67U.Q_S160_E1.50,MP
SM.GE67U.Q_S161_E1.50,K
SM.GE67U.Q_S162_E1.50,K
SM.GE67U.Q_S163_E1.50,K
SM.GE67U.Q_S164_E1.50,MP
SM.GE67U.Q_S165_E1.50,MP
SM.GE67U.Q_S166_E1.50,MP
SM.GE67U.Q_S167_E1.50,MP
SM.GE67U.Q_S168_E1.50,K
SM.GE67U.Q_S169_E1.50,MP
SM.GE67U.Q_S170_E1.50,MP
SM.GE67U.Q_S171_E1.50,MP
SM.GE67U.Q_S172_E1.50,MP
SM.GE67U.Q_S173_E1.50,MP
SM.GE67U.Q_S176_E1.50,MP
SM.GE67U.Q_S177_E1.50,MP
SM.GE67U.Q_S178_E1.50,MP
