cells,celltype
SM.D9CXJ_S67_E1.50,GABA1
SM.D9CXJ_S68_E1.50,MP
SM.D9CXJ_S73_E1.50,GABA2
SM.D9CXJ_S74_E1.50,MP
SM.D9CXJ_S75_E1.50,GABA2
SM.D9CXJ_S77_E1.50,MP
SM.D9CXJ_S89_E1.50,GABA2
SM.D9CXJ_S90_E1.50,GABA1
SM.D9CXJ_S91_E1.50,GABA2
SM.D9CXK_S58_E1.50,MP
SM.D9CXK_S60_E1.50,GABA2
SM.D9CXK_S74_E1.50,GABA2
SM.D9CXK_S79_E1.50,MP
SM.D9CXL_S66_E1.50,GABA1
SM.D9CXL_S74_E1.50,MP
SM.D9CXL_S75_E1.50,GABA1
SM.D9CXL_S76_E1.50,GABA2
SM.D9CXL_S81_E1.50,MP
SM.D9CXL_S83_E1.50,GABA1
SM.D9CXL_S84_E1.50,GABA2
SM.D9CXL_S86_E1.50,GABA1
SM.D9CXM_S73_E1.50,GABA2
SM.D9CXM_S74_E1.50,GABA2
SM.D9CXM_S75_E1.50,K
SM.D9CXM_S76_E1.50,GABA1
SM.D9CXM_S77_E1.50,GABA1
SM.D9CXM_S83_E1.50,GABA1
SM.D9CXM_S84_E1.50,GABA1
SM.D9CXM_S85_E1.50,GABA2
SM.D9CXM_S86_E1.50,GABA1
SM.D9CXM_S89_E1.50,GABA2
SM.D9CXM_S91_E1.50,MP
SM.D9CXM_S92_E1.50,GABA2
SM.D9CXN_S58_E1.50,GABA1
SM.D9CXN_S59_E1.50,MP
SM.D9CXN_S74_E1.50,GABA1
SM.D9CXN_S76_E1.50,K
SM.D9CXN_S77_E1.50,GABA2
SM.D9CXN_S81_E1.50,GABA2
SM.D9CXN_S85_E1.50,GABA1
SM.D9CXN_S89_E1.50,GABA1
SM.D9CXN_S91_E1.50,MP
SM.D9CXN_S92_E1.50,GABA2
SM.D9CXN_S93_E1.50,GABA1
SM.D9CXN_S95_E1.50,GABA1
SM.D9D7U_S01_E1.50,MP
SM.D9D7U_S10_E1.50,GABA1
SM.D9D7Z_S03_E1.50,K
SM.D9D7Z_S07_E1.50,GABA2
SM.D9D7Z_S13_E1.50,K
SM.D9D7Z_S15_E1.50,GABA1
SM.D9D81_S02_E1.50,MP
SM.D9D81_S09_E1.50,MP
SM.D9D81_S11_E1.50,MP
SM.D9D82_S13_E1.50,GABA2
SM.D9D82_S14_E1.50,GABA2
SM.D9D82_S17_E1.50,MP
SM.D9D82_S19_E1.50,MP
SM.D9D82_S20_E1.50,GABA1
SM.D9D83_S01_E1.50,GABA1
SM.D9D83_S06_E1.50,GABA2
SM.D9D83_S17_E1.50,MP
SM.D9D83_S19_E1.50,GABA2
SM.D9D83_S22_E1.50,GABA1
SM.D9D88_S02_E1.50,GABA1
SM.D9D88_S10_E1.50,MP
SM.D9D89_S02_E1.50,K
SM.D9D89_S03_E1.50,K
SM.D9D89_S05_E1.50,MP
SM.D9D89_S06_E1.50,MP
SM.D9D89_S07_E1.50,MP
SM.D9D89_S09_E1.50,GABA1
SM.D9D89_S15_E1.50,GABA2
SM.D9D8B_S01_E1.50,GABA1
SM.D9EOO_S57_E1.50,MP
SM.D9EOO_S58_E1.50,K
SM.D9EOO_S59_E1.50,K
SM.D9EOO_S60_E1.50,K
SM.D9EOO_S61_E1.50,K
SM.D9EOO_S62_E1.50,MP
SM.D9EOO_S63_E1.50,MP
SM.D9EOO_S65_E1.50,K
SM.D9EOO_S67_E1.50,K
SM.D9EOO_S68_E1.50,K
SM.D9EOO_S69_E1.50,MP
SM.D9EOO_S71_E1.50,K
SM.D9EOO_S81_E1.50,K
SM.D9EOO_S82_E1.50,K
SM.D9EOO_S83_E1.50,K
SM.D9EOO_S84_E1.50,K
SM.D9EOO_S86_E1.50,K
SM.D9EOO_S87_E1.50,K
SM.D9EOO_S89_E1.50,MP
SM.D9EOO_S90_E1.50,K
SM.D9EOO_S92_E1.50,K
SM.D9EOO_S93_E1.50,K
SM.D9EOO_S94_E1.50,K
SM.D9EOO_S95_E1.50,MP
SM.D9EOP_S59_E1.50,GABA1
SM.D9EOP_S60_E1.50,K
SM.D9EOP_S61_E1.50,K
SM.D9EOP_S62_E1.50,K
SM.D9EOP_S63_E1.50,K
SM.D9EOP_S65_E1.50,K
SM.D9EOP_S66_E1.50,MP
SM.D9EOP_S67_E1.50,K
SM.D9EOP_S68_E1.50,K
SM.D9EOP_S69_E1.50,MP
SM.D9EOP_S70_E1.50,K
SM.D9EOP_S71_E1.50,K
SM.D9EOP_S73_E1.50,K
SM.D9EOP_S75_E1.50,K
SM.D9EOP_S76_E1.50,K
SM.D9EOP_S77_E1.50,MP
SM.D9EOP_S79_E1.50,K
SM.D9EOP_S89_E1.50,K
SM.D9EOP_S90_E1.50,MP
SM.D9EOP_S91_E1.50,K
SM.D9EOP_S92_E1.50,MP
SM.D9EOP_S93_E1.50,K
SM.D9EOP_S94_E1.50,K
SM.D9EOP_S95_E1.50,K
SM.D9EOQ_S42_E1.50,K
SM.D9EOQ_S43_E1.50,K
SM.D9EOQ_S44_E1.50,K
SM.D9EOQ_S46_E1.50,K
SM.D9EOQ_S47_E1.50,MP
SM.D9EOQ_S49_E1.50,K
SM.D9EOQ_S50_E1.50,K
SM.D9EOQ_S51_E1.50,K
SM.D9EOQ_S52_E1.50,GABA1
SM.D9EOQ_S53_E1.50,MP
SM.D9EOQ_S54_E1.50,K
SM.D9EOQ_S58_E1.50,K
SM.D9EOQ_S59_E1.50,K
SM.D9EOQ_S60_E1.50,K
SM.D9EOQ_S61_E1.50,K
